MamaDo.mid

@393, Channel 1, Program change: Fingered Bs.
@13830, Channel 9, Note on:  C2
@13834, Channel 1, Note off: F1
@13837, Channel 1, Note on:  A#1
@13937, Channel 9, Note off: C2
@13983, Channel 0, Note off: A#4
@13986, Channel 0, Note off: D5
@13987, Channel 0, Note off: F4
@14197, Channel 9, Note on:  D#2
@14208, Channel 0, Note on:  D5
@14208, Channel 0, Note on:  F4
@14208, Channel 0, Note on:  A#4
@14209, Channel 9, Note on:  E2
@14232, Channel 1, Note off: A#1
@14256, Channel 9, Note off: D#2
@14286, Channel 9, Note off: E2
@14393, Channel 0, Note off: D5
@14395, Channel 0, Note off: A#4
@14411, Channel 0, Note off: F4
@14445, Channel 9, Note on:  C2
@14446, Channel 9, Note on:  D#2
@14504, Channel 9, Note off: C2
@14556, Channel 9, Note off: D#2
@14592, Channel 0, Note on:  F4
@14592, Channel 0, Note on:  D5
@14592, Channel 0, Note on:  A#4
@14592, Channel 0, Note on:  G#4
@14593, Channel 3, Note on:  F4
@14598, Channel 9, Note on:  C2
@14695, Channel 9, Note off: C2
@14748, Channel 0, Note off: A#4
@14762, Channel 0, Note off: G#4
@14772, Channel 0, Note off: F4
@14784, Channel 0, Note off: D5
@14833, Channel 3, Note off: F4
@14837, Channel 3, Note on:  D#4
@14970, Channel 9, Note on:  D#2
@14976, Channel 0, Note on:  F4
@14976, Channel 0, Note on:  D5
@14976, Channel 0, Note on:  G#4
@14976, Channel 0, Note on:  A#4
@14976, Channel 9, Note on:  E2
@14985, Channel 3, Note on:  F4
@15003, Channel 3, Note off: D#4
@15032, Channel 9, Note off: E2
@15054, Channel 9, Note off: D#2
@15130, Channel 0, Note off: D5
@15145, Channel 0, Note off: G#4
@15148, Channel 0, Note off: F4
@15152, Channel 0, Note off: A#4
@15214, Channel 3, Note on:  F#4
@15233, Channel 3, Note off: F4
@15350, Channel 3, Note off: F#4
@15360, Channel 0, Note on:  F#4
@15360, Channel 0, Note on:  A#4
@15360, Channel 0, Note on:  D#5
@15361, Channel 3, Note on:  F4
@15366, Channel 9, Note on:  C2
@15368, Channel 1, Note on:  D#2
@15473, Channel 9, Note off: C2
@15521, Channel 0, Note off: A#4
@15539, Channel 0, Note off: F#4
@15548, Channel 0, Note off: D#5
@15740, Channel 9, Note on:  D#2
@15744, Channel 0, Note on:  F#4
@15744, Channel 0, Note on:  A#4
@15744, Channel 0, Note on:  D#5
@15744, Channel 3, Note on:  D#4
@15745, Channel 9, Note on:  E2
